expression_id,usage_id,category,darija,literal_translation,trigger_event,temporal_position,scenarios,urdu,urdu_scenario,vietnamese,vietnamese_scenario,nepali,nepali_scenario
E07,E07-U1,THANKS,Lla y5lf,May God reimburse you,after_someone_paid_or_hosted_you,AFTER,thanking the host who cooked the meal OR thanking someone who paid the bill on your behalf OR thanking someone who gave at their own expense,جزاک اللہ (JazakAllah),,"Cảm ơn nhiều nhé / Ngại quá, làm phiền rồi",secular 'thanks so much / sorry for the trouble',,
E08,E08-U1,THANKS,Barak Allahu fik,May God bless you,after_significant_favor_or_gift,AFTER,"after receiving a significant favor OR after receiving a meaningful gift OR as a deeper, warmer thank-you in formal contexts",جزاک اللہ (JazakAllah),,Cảm ơn nhiều!,,भगवानले कल्याण गरून् (Bhagwanle kalyan garun),
E09,E09-U1,WELCOME,Mrehba,Welcome,guest_or_customer_entering,DURING,when a guest enters your home OR when a customer enters your shop,خوش آمدید (Khush Aamdeed),,Chào mừng / Vô đi! / Vào đi!,,स्वागत छ (Swagat chha),
E09,E09-U2,THANKS_REPLY,Mrehba,Welcome,casual_response_to_thanks,AFTER,as a casual 'you're welcome' in reply to thanks OR downplaying a favor when thanked,کوئی بات نہیں (Koi baat nahi),,Không có gì,,केही छैन (Kehi chhaina),
E10,E10-U1,FAREWELL,Bslama,With peace,leaving,DURING,when leaving a gathering or party OR when leaving a shop after a purchase OR when getting out of a taxi,خدا حافظ (Khuda Hafiz),,Tạm biệt / Đi nha / Bái bai,,नमस्ते / बिदा (Namaste / Bida),Namaste doubles as farewell; Bida is specifically 'goodbye/farewell'
E11,E11-U1,GREETING,Salam u 3alaykum,Peace be upon you,opening_contact_formally,DURING,when entering a room with people in it OR when opening a conversation respectfully OR as a formal hello on first encounter,السلام علیکم (Assalam o Alaikum),,Xin chào,secular formal hello,नमस्कार (Namaskar),
E12,E12-U1,COMFORT,Ma msha m3ak bas,May no harm go with you,after_someone_reports_past_illness,AFTER,after someone tells you they were sick recently OR after someone tells you they were injured but recovered,اللہ شفا دے (Allah shifa de),,Đỡ hơn chưa?,"literally 'feeling better yet?', specific to sickness",भगवानले कल्याण गरून् (Bhagwanle kalyan garun),
E12,E12-U2,COMFORT,Ma msha m3ak bas,May no harm go with you,after_someone_reports_minor_misfortune,AFTER,after someone tells you about a minor misfortune OR after someone shares bad news that has already passed,افسوس ہوا (Afsos hua),"literally 'I'm sorry', used for general misfortune not just illness",Không sao đâu,"literally 'it's nothing', used for general misfortune",,
E13,E13-U1,BLESSING,Llah idewemha m7abba,May God make this love last,after_good_time_or_reconciliation,AFTER,after a good time together with a close friend or family OR after resolving an argument with a loved one,اللہ یہ محبت قائم رکھے (Allah yeh muhabbat qaim rakhe),,,,,
E14,E14-U1,BLESSING,Llah i3cher khtawatk,May God bless your steps,guest_departing_your_home,DURING,"to a guest leaving your house, wishing them safe return OR as a parting blessing to someone you have hosted",اللہ خیر سے (Allah khair se),,Về nhà cẩn thận,literally 'go home carefully',शुभ यात्रा (Shubh yatra),secular 'have a good journey'
E15,E15-U1,CONGRATULATION,Llah ikml bel khir,May God complete it with good,after_new_life_stage_announced,AFTER,after someone gets engaged OR after someone gets married OR after someone starts a new business or venture,اللہ خیر کرے (Allah khair kare),,Chúc mừng!,secular 'congratulations',शुभकामना (Shubhkamana),
E16,E16-U1,WELLBEING_WISH,Llah ishafik,May God heal you,to_currently_sick_person,DURING,directly to someone who is currently sick OR directly to someone who is currently injured,اللہ شفا دے (Allah shifa de),,Mau khỏe nhé,"literally 'get well soon', secular",चाँडै निको होस् (Chandai niko hos),secular 'get well soon'
E17,E17-U1,BLESSING,Tri9 sslama,Path of peace,before_trip_or_drive,BEFORE,to someone about to start a trip OR to someone about to drive away,خیر سے جاؤ (Khair se jao),,Đi đường cẩn thận / Chạy xe cẩn thận,,शुभ यात्रा (Shubh yatra),
E18,E18-U1,GREETING,3la slamtek,On your peace/safety,after_return_or_recovery,AFTER,to someone who just returned from a trip OR to someone who just recovered from illness,اللہ سلامت رکھے (Allah salamat rakhe),"used as a well-wish for safety, not as a fixed welcome-back formula like Darija",,,,
E19,E19-U1,GREETING_REPLY,Llah iselmek,May God keep you safe,responding_to_welcome_back_wish,AFTER,responding to someone who welcomed you back safely from a trip OR responding to someone who was glad you recovered from illness,آپ بھی سلامت (Aap bhi salamat),"returns the same wish, not part of a rigid adjacency pair as in Darija",,,,
E20,E20-U1,CONDOLENCE,Lba9a f rassek,The remainder in your head,after_loss_of_loved_one,AFTER,to someone who lost a loved one OR offering personal condolences for a death,اللہ صبر دے (Allah sabr de),,Xin chia buồn,secular 'my condolences',दुःखको खबर सुनें (Dukhko khabar sunen),secular 'I heard the sad news'
E21,E21-U1,CONDOLENCE,3eddem llah l'ajer,May God magnify the reward,formal_condolence_at_funeral,AFTER,at a funeral OR formally to a grieving family,اللہ اجر دے (Allah ajr de),,,,,
E22,E22-U1,THANKS,Llah irhem lwalidin,May God have mercy on your parents,after_massive_favor,AFTER,as a very strong thank-you for a massive favor OR as deep gratitude for life-changing help,اللہ آپ کے والدین پر رحم کرے (Allah aapke walidain par reham kare),,,,धर्म होस् (Dharma hos),"literally 'may you accumulate religious merit', strong thanks"
E23,E23-U1,THANKS,Llah ihfdek,May God protect you,after_small_favor_casually,AFTER,casual warm thanks to a friend OR casual warm thanks to a shopkeeper,اللہ حفاظت کرے (Allah hifazat kare),,Cảm ơn nha,,,
E23,E23-U2,FAREWELL,Llah ihfdek,May God protect you,leaving_casually,DURING,casual warm goodbye to a friend OR casual warm goodbye to a shopkeeper,اللہ حفاظت کرے (Allah hifazat kare),,Giữ gìn sức khỏe,literally 'take care of your health',,
E24,E24-U1,BLESSING,L3o9ba lik,The turn is yours,at_celebration_to_unmarried_person,DURING,"at a wedding to an unmarried person, wishing them the same joy OR at a celebration wishing the same future event to a single guest",تمہاری باری بھی آئے گی (Tumhari baari bhi aayegi),,Bao giờ đến lượt [name] đây? / Sớm tới lượt nhé,literally 'when's your turn?',,
E25,E25-U1,GOODNIGHT,Tsbe7 3la khir,Wake up on good,before_sleep,BEFORE,before going to sleep at night OR parting at the end of an evening,شب بخیر (Shab bakhair),,Ngủ ngon nha,,शुभ रात्रि (Shubh ratri),
E26,E26-U1,GOODNIGHT_REPLY,Wenta mn ahl lkhir,And you are from the people of good,responding_to_goodnight,AFTER,responding to someone who just wished you goodnight OR returning a goodnight blessing,تم بھی (Tum bhi),"casual 'you too', no fixed pair like Darija",Ngủ ngon nha,Vietnamese uses the same phrase for initial and reply,शुभ रात्रि (Shubh ratri),Nepali uses the same phrase for initial and reply
E27,E27-U1,REASSURANCE,Ddenia hania,The world is peaceful,after_apology_received,AFTER,to accept someone's apology OR to reassure that a mistake is no problem OR as a 'no worries' response,کوئی بات نہیں (Koi baat nahi),,Không sao / Không sao đâu / Ổn mà,,केही छैन / ठिकै छ (Kehi chhaina / Thikai chha),
E28,E28-U1,THANKS_REPLY,Bla jmil,Without favor,responding_to_thanks,AFTER,as 'you're welcome' after someone thanks you OR downplaying a favor when thanked,کوئی بات نہیں (Koi baat nahi),,Không có chi / Không có gì,,धन्दा मान्नु पर्दैन (Dhanda mannu pardaina),
E29,E29-U1,THANKS,Llah ijazik bikhir,May God reward you with good,after_help_from_elder_or_stranger,AFTER,polite thanks to an elder who helped you OR polite thanks to a stranger who helped you,جزاک اللہ (JazakAllah),,Cảm ơn ạ,formal polite 'thank you' with respect particle 'ạ',भगवानको कृपा रहोस् (Bhagwanko kripa rahos),
E30,E30-U1,ACCEPTANCE,3la rassi w 3iniya,On my head and my eyes,after_request_received,AFTER,to show happy willingness to fulfill a request OR to enthusiastically accept a favor request,سر آنکھوں پر (Sar aankhon par),,Sẵn sàng thôi,literally 'happy to',हवस् हुन्छ (Hawas hunchha),
E31,E31-U1,AGREEMENT,Mshat m3ak,It went with you,after_deal_or_plan_proposed,AFTER,to confirm a deal OR to agree to a plan OR as a casual 'you got it',ٹھیک ہے (Theek hai),,Chốt nhé,casual 'deal',हुन्छ (Hunchha),casual 'okay/deal'
E32,E32-U1,ENCOURAGEMENT,Dir nia,Do intention,interlocutor_overthinking,DURING,to encourage someone anxious to have faith OR to tell someone to stop overthinking,اچھی نیت رکھ (Achhi niyat rakh),,,,,
E33,E33-U1,COMFORT,Kolshi b lmektab,Everything is written,after_failure_or_loss,AFTER,to comfort someone after a failure by invoking destiny OR to console someone after a loss with the idea of fate,تقدیر میں لکھا ہے (Taqdeer mein likha hai),,Số nó vậy rồi / Giày dép còn có số huống chi con người,literally 'it was just fate',भाग्यको खेल (Bhagyako khel),literally 'the play of destiny'
E34,E34-U1,ENCOURAGEMENT,Llah iyesser,May God make it easy,before_difficult_task,BEFORE,to wish luck before an exam OR to wish luck right before someone does something difficult,اللہ آسان کرے (Allah aasaan kare),,Chúc may mắn / May mắn nhé,secular 'good luck',शुभकामना (Shubhkamana),secular 'best wishes'
E35,E35-U1,CONGRATULATION,Mabrouk 3washrek,Blessed be your days,before_religious_holiday,BEFORE,in the weeks leading up to a major religious holiday OR as a pre-festival greeting to a co-religionist,مبارک ہو (Mubarak ho),,,,शुभ रहोस् (Shubh rahos),"used before Hindu festivals like Dashain, Tihar"
E36,E36-U1,CONGRATULATION_REPLY,Llah ibarek fik,May God bless you,responding_to_congratulation,AFTER,responding to someone who congratulated you OR as a fixed reply to a celebration greeting,جزاک اللہ (JazakAllah),as the reply to 'Mubarak ho',Cảm ơn,Vietnamese simply uses 'thanks' as the reply,धन्यवाद (Dhanyabad),Nepali simply uses 'thanks' as the reply
E37,E37-U1,OFFER,3la 7sabna,On our account,at_bill_or_payment_moment,DURING,when a shopkeeper insists on not charging you OR when a friend insists on paying the bill for everyone,میرے ذمے (Mere zimay),,Để [pronoun] trả cho,literally 'let me pay for it',मैले तिर्छु (Maile tirchhu),literally 'I'll pay'
E38,E38-U1,PROTECTION,Llah inejjik,May God save you,after_mention_of_catastrophe,AFTER,"after mentioning a car crash, to protect the listener OR after mentioning anything terrible in conversation",اللہ بچائے (Allah bachaye),,,,भगवानले रक्षा गरून् (Bhagwanle raksha garun),
E39,E39-U1,INVOCATION,3la llah,On God,before_uncertain_outcome,BEFORE,when taking a risk and hoping for the best OR when starting something with an uncertain outcome,اللہ پر بھروسہ (Allah par bharosa),,,,भगवानले भरोसा (Bhagwanle bharosa),
