"concept_id","part_of_speech","lemmas","english_lemmas","gloss","english_gloss"
"369",1,"प्राय:श्‍चित | प्राय:श्‍चित्त","atonement | expiation | propitiation","कुनै पाप गर्दा उसको दोषबाट मुक्‍त हुनका लागि गरिने कुनै धार्मिक वा राम्रो काम","the act of atoning for sin or wrongdoing (especially appeasing a deity)"
"386",1,"टहल | नोकरी | सेवा","service","नोकरको काम","the performance of duties by a waiter or servant"
"400",1,"बजाइ | वादन","playing","बाजा बजाउने क्रिया","the act of playing a musical instrument"
"408",1,"मसिनीकरण | यन्त्रीकरण","automation | mechanisation | mechanization","नयाँ-नयाँ यन्त्रहरू का निर्माण र तिनको प्रयोग हुने क्रिया","the act of implementing the control of equipment with advanced technology; usually involving electronic hardware"
"409",1,"कम्प्यूटरीकरण | सङ्गणकीकरण","computerization | cybernation","कम्प्युटरमा हालिने क्रिया","the control of processes by computer"
"411",1,"निक्षेप | निक्षेपण | प्रक्षेपण","launch | launching","कुनै वस्तु आवेगका साथ पछार्ने वा फ्‍याक्ने क्रिया","the act of propelling with force"
"426",4,"मसिनो तरिकाले | मिही चालले","flip | pass | toss","सुक्ष्म तरिकाले","(sports) the act of throwing the ball to another member of your team"
"488",1,"डकार","belch | belching | burp | burping | eructation","भुँडी भरिएको सूचक त्यो शारीरिक अवस्था जसमा भुँडीको हावाले केही शब्द गर्दै घाँटीबाट निस्कन्छ:आज मलाई धेरै डकार आउँदै छ","a reflex that expels wind noisily from the stomach through the mouth"
"494",1,"बमन | बान्ता","disgorgement | emesis | puking | regurgitation | vomit | vomiting","भुँडीमा भएको वस्तु आफैँ नै मुखबाट बाहिर निस्किने क्रिया:धेरै खाएको हुनाले सचीनलाई बान्ता भयो","the reflex act of ejecting the contents of the stomach through the mouth"
"508",1,"अनुपालन","sending","कुनै पत्र वा आज्ञालसई उचित स्थानमा पुराउने कार्य","the act of causing something to go (especially messages)"
"509",1,"प्रसारण","transmission | transmittal | transmitting","रेडियोद्वारा सङ्गीत, भाषण आदि सुनाउनको निमित्त चारैतिर फैलाउने क्रिया","the act of sending a message; causing a message to be transmitted"
"554",1,"बेलन | बेलना","roller","लाम्चो आकारको त्यो भारी गोलो खण्ड जसले कुनै स्थान समतल बनाउँछ अथवा ढुङ्गा-रोडा कुटेर बाटो बनाउँछ:रोलरमा लगाएको बेलनले बाटोलाई समतल बनाउँदछ","a grounder that rolls along the infield"
"581",1,"चड्कन | झापड | थप्पड | लपेटा","slap | smack | smacking","पुरै हातको पन्जाले गरिने प्रहार:उसले मलाई एक थप्पड लगायो","the act of smacking something; a blow delivered with an open hand"
"583",1,"पछाराइ","knockdown","पछार्ने क्रिया","a blow that knocks the opponent off his feet"
"589",1,"घुस्सा | मुक्का | मुडकी","biff | clout | lick | poke | punch","घुस्सा वा मुक्काले गरिने प्रहार:कहिलेकाहिँ मुक्काको चोट पनि ज्यान लिने खालको हुन्छ","(boxing) a blow with the fist"
"599",1,"पदाघात | पाउको प्रहार | लात्ती","boot | kick | kicking","खूट्टाले गरिने आघात","the act of delivering a blow with the foot"
"608",1,"म्वाइँ","buss | kiss | osculation","NO_GLOSS","the act of caressing with the lips (or an instance thereof)"
"624",1,"पोस्टमार्टम | शव परीक्षा","autopsy | necropsy | pm | post-mortem | post-mortem examination | postmortem | postmortem examination","मरे पछि मृत शरीरलाई डाक्टरद्वारा गराइने जाँच","an examination and dissection of a dead body to determine cause of death or the changes produced by disease"
"628",1,"जाँच | परीक्षण | परीक्षा","checkup | health check | medical | medical checkup | medical exam | medical examination","चिकित्सकद्वारा रोग छ या छैन भनेर जाँच्ने क्रिया","a thorough physical examination; includes a variety of tests depending on the age and sex and health of the person"
"653",1,"गाँठो | बन्धन","attachment | fastening","बाँध्ने क्रिया वा भाव","the act of fastening things together"
"664",1,"झलाइ | वेल्डिङ","welding","धातुको वस्तुमा जोडने वा काँटी ठोक्‍ने क्रिया","fastening two pieces of metal together by softening with heat and applying pressure"
"672",1,"चियो | जासुसी | ढुकाइ","catching | detection | espial | spotting | spying","जासुसको काम","the act of detecting something; catching sight of something"
"711",1,"आकर्षण | सम्मोहन","hypnotism | mesmerism | suggestion","सम्मोहित गर्ने क्रिया वा भाव","the act of inducing hypnosis"
"714",1,"प्रलोभन | लालच | लोभ","enticement | temptation","त्यस्तो कुरा वा कार्य जुन कसैलाई लोभ्याएर आफूतिर तान्नलाई हुन्छ:“रुँदै गरेको बच्चालाई प्रलोभन देखाएर सजिलै चुप लगाउन सकिन्छ""","the act of influencing by exciting hope or desire"
"736",1,"नामदर्ता | नामाङ्कन्","nomination","चुनाउ आदिमा उभिनका लागि कसैको नाम लेखिने क्रिया","the act of officially naming a candidate"
"746",1,"चाल","move","चेस,तास,चौसर आदि खेलमा, पत्ता वा मोहर दाउमा राख्‍ने वा अघिबढाउने क्रिया","(game) a player's turn to take some action permitted by the rules of the game"
"787",1,"शल्य उपकरण | शस्त्र","instrument | tool","त्यो उपकरण जसले चिकित्सकले पिलो आदि चिरफार गर्छ","the means whereby some act is accomplished"
"828",1,"जनमत | लोकमत","plebiscite","मान्छेको मत","a vote by the electorate determining public opinion on a question of national importance"
"837",1,"उपचुनाव | उपनिर्वाचन","by election | bye election","हुन आँटेको त्यो निर्वाचन जुन चाहिँ कुनै शैक्षिक सत्रको समय पूरा हुनुभन्दा पहिले, कुनै विशेष कारणले कुनै स्थान खाली हुँदा त्यसको पूर्तिका लागि हुन्छ","a special election between regular elections"
"846",1,"निर्णायक मत","casting vote","हार-जीत निर्धारित गर्ने मत","the deciding vote cast by the presiding officer to resolve a tie"
"897",4,"अभिमानपूर्वक | अभिमानले | सगर्व | साभिमान","habituation","अभिमानका साथ","a general accommodation to unchanging environmental conditions"
"905",1,"प्रतिस्थापन | प्रतिस्थापना","commutation | exchange | substitution","प्रतिस्थापित हुने क्रिया या भाव या आफ्नो स्थानबाट हटेको वस्तु या व्यक्तिलाई फेरि त्यही स्थानमा राख्‍ने या बसाउने क्रिया या त्यसको ठाउँमा अर्को वस्तु आदिलाई राख्‍ने या बसाउने क्रिया","the act of putting one thing or person in the place of another"
"914",1,"पदोन्नति | बढुवा","promotion","पदमा हुने उन्नति","act of raising in rank or position"
"916",1,"झरुवा | पदावनति","demotion","कुनै पद आदिमा हुने अवनति","act of lowering in rank or position"
"931",1,"छेकाइ | प्रतिरोध | रोकावट | विरोध","opposition | resistance","कुनै कार्य आदिलाई रोक्‍न त्यसको विपरीत केही गर्ने क्रिया या कुनै काम जसलाई हामीले नचाहँदै विपरीतमा केही गर्ने क्रिया","the action of opposing something that you disapprove or disagree with"
"942",1,"त्याग | परित्याग | परिहार","abandonment | desertion | forsaking","कुनै वस्तु वा प्राणीसँग सम्बन्ध बिच्छेद गर्ने क्रिया वा भाव","the act of giving something up"
"951",1,"त्याग | बहिष्करण | बहिष्कार","boycott","कुनै विषयमा कसैसँग मतभेद हुँदा विरोध वा असन्तोष प्रकट गर्नका लागि उसले गरेको त्याग","a group's refusal to have commercial dealings with some organization in protest against its policies"
"955",1,"बहिष्करण | बहिष्कार","ejection | exclusion | expulsion | riddance","बाहिर पार्ने वा निकाल्‍ने क्रिया","the act of forcing out someone or something"
"980",1,"अवकाशग्रहण | रिटायरमेंट | सेवानिमुक्‍त","retirement","निर्धारित समय पछि नोकरीबाट बिदा हुने क्रिया","withdrawal from your position or occupation"
"1001",1,"निलम्बन","discharge | dismissal | dismission | firing | liberation | release | sack | sacking","अपराध वा अभियोग लाग्दा अन्तिम निर्णय आउन्जेलसम्म आफ्नो कामबाट छुटाउने क्रिया","the termination of someone's employment (leaving them free to depart)"
"1036",1,"अपघात | आत्मघात | आत्महत्या","self-annihilation | self-destruction | suicide","आफैँले आफ्‍नो हत्या गर्ने काम:आत्महत्या महापाप हो","the act of killing yourself"
"1046",1,"काटकुट | मारकाट","battue | bloodbath | bloodletting | bloodshed","मार्ने-काट्ने क्रिया","indiscriminate slaughter"
"1051",1,"गोली","shooting","मार्नको लागि बन्दुक आदिबाट गोली चलाउने  क्रिया","killing someone by gunfire"
"1056",1,"अकडाहट | ऐँठन","spasm","अकड्ने अवस्था","(pathology) sudden constriction of a hollow organ (as a blood vessel)"
"1060",1,"बान्ता | वाकवाक्ती","heave | retch","वाकवाक्ती आउने क्रिया","an involuntary spasm of ineffectual vomiting"
"1112",1,"गठन | संस्थापन | स्थापना","constitution | establishment | formation | organisation | organization","संस्था वा मण्डली आदि बनाउने कार्य","the act of forming something"
"1124",1,"उद्घाटन","inauguration | startup","कुनै ठुलो समारोह,सम्मेलन आदिको महत्त्व र गौरव बढाउका लागि कुनै महान मानिसद्वारा उनको कार्य  शुभारम्भ गरिने काम","the act of starting a new operation or practice"
"1142",1,"पकाइ-बनाइ | पाक कर्म","cookery | cooking | preparation","पकाउने वा बनाउने क्रिया","the act of preparing something (as food) by the application of heat"
"1174",1,"पुछपाछ","mopping | swabbing","पुछपाछ गर्ने क्रिया","cleaning with a mop"
"1176",1,"सफा | सुग्घर | स्वच्छ","sweeping","सुग्घर पार्ने क्रिया","the act of cleaning with a broom"
"1177",1,"परिष्करण | परिष्कार | शुद्धिकरण | शोधन","purge | purging","स्वच्छ र शुद्ध गर्ने क्रिया","an act of removing by cleansing; ridding of sediment or other undesired elements"
"1222",1,"आपूर्ति | पूरापन | पूर्णता | पूर्ति","perfection","पूर्ण या पूरा हुने अथवा गराउने क्रिया या भाव","the act of making something perfect"
"1232",1,"श्रृङ्गार | सिँगार","adornment","बनिने अथवा सिँगारिने क्रिया","the action of decorating yourself with something colorful and interesting"
"1249",1,"नवीकरण | नवीनीकरण","overhaul | redevelopment | renovation","फेरि नयाँ रूपमा ल्याउने क्रिया","the act of improving by renewing and restoring"
"1261",1,"जतन | यत्‍न | हेरचाह | हेरविचार","care | maintenance | upkeep","कुनै चिज वा कामको रेख-देख गर्दै त्यसलाई टिकाएर राख्‍ने र राम्ररी चलाइरहने क्रिया वा भाव","activity involved in maintaining something in good working order"
"1271",1,"पुनर्निर्माण | पुनर्रचना","reconstruction","कुनै वस्तु आदिको फेरि वा दोस्रोपल्ट निर्माण गर्ने क्रिया","the activity of constructing something again"
"1284",1,"अपकर्ष | अपमान","debasement | degradation","तलतिरको खिचाइ वा झर्ने क्रिया","changing to a lower state (a less respected state)"
"1313",1,"दूषण | नजातीपन","contamination | pollution","दूषित हुने क्रिया","the act of contaminating or polluting; including (either intentionally or accidentally) unwanted substances or factors"
"1320",1,"सिँचाइ | सिञ्चन | सेचन","watering","सिञ्चन गर्ने क्रिया","wetting with water"
"1321",1,"छर्काइ","sparge | sprinkle | sprinkling","तरल पदार्थ छर्किने क्रिया","the act of sprinkling or splashing water"
"1328",1,"गति | हिँडाइ","motion | move | movement","हिँडने क्रिया","the act of changing location from one place to another"
"1330",1,"अभिगम | अभिगमन","approach | approaching | coming","नजिक जाने क्रिया","the act of drawing spatially closer to something"
"1346",1,"घुमफिर | भ्रमण | विचरण | हिँडडुल","meander | ramble","घुमफिर गर्ने क्रिया","an aimless amble on a winding course"
"1352",1,"पाइला | फडका","step","हिडाइ वा कुदाइमा एक ठाउँबाट खुट्टो अर्को ठाउँमा राख्‍ने क्रिया","the act of changing location by raising the foot and setting it down"
"1358",1,"लङ्गड्याइ","hitch | hobble | limp","खोच्याएर हिँडने वा लङ्गडिएको अवस्था वा भाव","the uneven manner of walking that results from an injured leg"
"1375",1,"डगमगाइ | लडखडाइ","lurch | stagger | stumble","लडखडाउने अवस्था वा क्रिया","an unsteady uneven gait"
"1384",1,"कदमताल | मार्च","march | marching","एउटा निश्‍चित् बिराम पछि खुट्टो उठाउने तथा झार्ने क्रिया","the act of marching; walking with regular steps (especially in a procession of some kind)"
"1405",1,"कुदाइ | दौड","run | running","कुदने क्रिया वा भाव","the act of running; traveling on foot at a fast pace"
"1411",1,"घुडा टेकाइ","crawl | crawling | creep | creeping","नानीहरूले घुँडाले टेकेर हिँडने क्रिया","a slow mode of locomotion on hands and knees or dragging the body"
"1432",1,"अश्‍वारोहण | घुडसवार | घोडचढी","horseback riding | riding","घोडाको सवार गर्ने क्रिया","to be carried on horseback as a means of transportation"
"1440",1,"हवाई यात्रा","air | air travel | aviation","वायुयानद्वारा गरिने यात्रा","travel via aircraft"
"1448",1,"उडाइ | उडान","flight | flying","उडने क्रिया","an instance of traveling by air"
"1471",1,"उडान | उड्डयन","takeoff","हवा जहाज आदि उडाउने क्रिया","a departure; especially of airplanes"
"1474",1,"जात्रा | प्रवास | भ्रमण | यात्रा | सफर","journey | journeying","एउटा स्थानबाट अर्को दूरवर्ती स्थानसम्म जाने क्रिया","the act of traveling from one place to another"
"1490",1,"लिफ्ट","lift","गन्तव्य स्थानमा जानको लागि बाटोमा जाने कुनै गाडीमा बसेर मफतमा जाने यात्रा","a ride in a car"
"1502",4,"अन्ततोगत्वा | विवश भएर | विवशतः","grand tour","नचाहेर पनि","a sightseeing tour of a building or institution"
"1513",1,"जल यात्रा","ocean trip | voyage","नदी वा समुद्रबाट गरिने यात्रा","an act of traveling by water"
"1535",1,"अभिदान | सुपुर्दगी","bringing | delivery","कुनै वस्तु अरूलाई जिम्मा लगाउने वा सुम्पने काम।","the act of delivering or distributing something (as goods or mail)"
"1544",1,"ओसार | ढुवाइ","carry","बोक्‍ने काम","the act of carrying something"
"1588",1,"अवरोह | अवरोहण | झराइ","descent","माथिबाट तल झर्ने क्रिया","the act of changing your location in a downward direction"
"1597",1,"लर्बरिनु | हल्लिनु","swing | swinging | vacillation","हल्लिने क्रिया वा भाव","changing location by moving back and forth"
"1598",1,"फर्काइ | वापसी","return","वापस आउने वा फर्किने क्रिया","the act of going back to a prior location"
"1603",1,"पहिरो | पैरो | पैह्रो | भूस्खलन","sideslip | skid | slip","अचानक माथिबाट तल झर्ने क्रिया","an unexpected slide"
"1727",1,"छँटाइ","cutback","छँटाइ गर्ने क्रिया","a reduction in quantity or rate"
"1728",4,"शौकिया | सौखिन","service cutback","सोखको कारण","the act of reducing service"
"1781",1,"उन्नति | बढोत्तरी | वृद्धि","increase | step-up","बढने वा बढाउने क्रिया","the act of increasing something"
"1782",1,"जोडाइ","addition","जोडने क्रिया","the act of adding one thing to another"
"1797",1,"तनाइ | तन्काइ","tension","तानने क्रिया वा भाव","the action of stretching something tight"
"1803",1,"प्रचार | प्रचार-प्रसार | प्रचारण | प्रसारण","extension","कुनै विषय वा चर्चा प्रसार गर्ने क्रिया","act of expanding in scope; making more widely available"
"1823",1,"अनुपूरण","subjoining | subjunction | supplementation","कुनै वस्तुमा रहेको कुनै प्रकारको त्रुटि वा कमी पूरा गर्नका लागि पछिबाट  उसमा केही जोड्ने, मिलाउने वा बढाउने क्रिया","the act of supplementing"
"1853",1,"जलाउनु | दाह","burning | combustion","जलाउने क्रिया वा भाव","the act of burning something"
"1854",1,"अग्निकाण्ड | आगलागी","arson | fire-raising | incendiarism","घर,दोकान,बजार,जङ्गलमा लाग्ने त्यो आगो जसमा सम्पत्तिको विनाश हुन्छ","malicious burning to destroy property"
"1857",1,"अग्नि-दाह | अग्निदाह | अन्त-क्रिया | अन्तक्रिया | चिता-कर्म | चिताकर्म | दाह | दाह-कर्म | दाह-क्रिया | दाह-संस्कार | दाह संस्कार | दाहकर्म | दाहक्रिया | शव-दाह | शवदाह","cremation","लाश जलाउने क्रिया","the incineration of a dead body"
"1859",1,"गुथाइ | नत्थी | नत्थीकरण","affixation | attachment","कागज आदिका धेरै टुकुरालाई एकैसाथ मिसाएर गुथने वा बान्ने क्रिया","the act of attaching or affixing something"
"1864",1,"मिलावट | सम्मिश्रण","blend | blending","मिसिने क्रिया","the act of blending components together thoroughly"
"1877",1,"पृथकीकरण","separation","पृथक या अलग गर्ने क्रिया","the act of dividing or disconnecting"
"1892",1,"फाटो | बेमेल | मतभेद","schism | split","मान्छेलाई एक अर्काको विरोधी बनिने वा बनाउने क्रिया","division of a group into opposing factions"
"1893",1,"कटाइ","cut | cutting","काट्‍ने काम","the act of cutting something into parts"
"1934",1,"अनाच्छादन | अनावरण","baring | denudation | husking | stripping | uncovering","कुनै वस्तु,कुरा आदिबाट आवरण हटाउने काम","the removal of covering"
"1970",1,"पुननियुक्‍ति | बहाली","reinstatement","फेरि आफ्नो पद वा स्थानमा नियुक्‍त गरिने क्रिया","the act of restoring someone to a previous position"
"1975",1,"छिराइ | पसाइ | भराइ | भित्र्याइ | हुलाइ","filling","हाल्ने क्रिया","the act of filling something"
"1983",1,"पोलाइ","burn","डढ्नाले हुने पीडा वा कष्ट","damage inflicted by fire"
"2006",1,"कार्य कलाप | कार्यकलाप | क्रिया-कलाप | क्रिया कलाप | गतिविधि","activity","कसैको चाल-चलन या उद्वारा गरिने काम आदिको रङ्ग-ढङ्ग","any specific behavior"
"2013",1,"कार्य-पद्धति | कार्य-प्रणाली | कार्यपद्धति | कार्यप्रणाली","pattern | practice","कुनै काम गर्ने प्रणाली","a customary way of operation or behavior"
"2035",1,"आदत् | बानी | बेहोरा | स्वभाव","habit | use | wont","व्यवहारको त्यो प्रकृति जुन वारम्बार दोहोर्‍याउँदा प्राप्‍त हुन्छ:उनको सधैँ बिहान छिट्टै ब्युझिने बानी छ झगडा लगाइदिने उसको बानी छ","a pattern of behavior acquired through frequent repetition"
"2043",1,"कमारो प्रथा | दास प्रथा","slaveholding | slavery","सेवा गर्नका लागि मूल्य दिएर कसैलाई किन्ने वा बेच्ने प्रथा","the practice of owning slaves"
"2058",1,"अनाचरण | अनाचार | अपचाल | कदाचार | कुचाल | कुव्यवहार | दुराचरण | दुराचार | दुर्व्यवहार | दुष्टाचरण","mistreatment","नराम्रो या अनुचित व्यवहार","the practice of treating (someone or something) badly"
"2065",1,"अत्याचार | उत्पीडन | ताडना | थिचोमिचो | प्रताडना","harassment | molestation","कष्ट दिने क्रिया","the act of tormenting by continued persistent attacks and criticism"
"2066",1,"अत्याचार | अन्याय | थिचोमिचो | पेलाइ","abuse | ill-treatment | ill-usage | maltreatment","अरूसँग बलपूर्वक गरिने त्यो अनुचित व्यवहार जसले उसलाई धेरै कष्ट हुन्छ","cruel or inhumane treatment"
"2072",1,"थिचोमिचो | दमन","oppression | subjugation","विरोध,उपद्रो,विद्रोह आदिलाई बल-प्रयोगद्वारा दबाउने क्रिया","the act of subjugating by cruelty"
"2090",1,"कठोरता | कडाइ | कडिकडाउ","cruelty | inhuman treatment","कठोर व्यवहार","a cruel act; a deliberate infliction of pain and suffering"
"2109",1,"आमोद-प्रमोद | आमोद प्रमोद | मनबहलाउ | मनोरञ्जन | मनोविनोद | रमझम | रमाइलो | रमिता","amusement | entertainment","मन प्रसन्न गर्ने कुरा या काम","an activity that is diverting and that holds the attention"
"2113",1,"आमोद-प्रमोद | क्रीडा | खेल | विनोद | विहार","fun | merriment | playfulness","केवल मन बहलाउन गरिने काम","activities that are enjoyable or amusing"
"2116",1,"खेलबाड | खेलाँची | ख्याल-ठट्टा | हेलचेक्‍य्राइँ","jest | jocularity | joke","मन भुलाउने कुरा वा काम:मसँग ख्याल-ठट्टा नगर","activity characterized by good humor"
"2171",1,"सम्पादन","ski jumping","काम सम्पूर्ण गर्ने प्रक्रिया","the act of performing a jump of skis from a high ramp overhanging a snow covered slope"
"2175",1,"जल-क्रीडा | जल-विहार | जलक्रीडा | जलविहार | वारि विहार","aquatics | water sport","त्यो क्रीडा या खेल जो जलमा खेलिन्छ","sports that involve bodies of water"
"2181",1,"गोता | डुबुल्की | डुब्की","dip | plunge","पानीमा डुब्ने काम वा भाव (जानीबुझी)","a brief swim in water"
"2254",1,"मछुवा | माझी","fishing","जीवन यापनको लागि माछा मार्ने वा पकड़ने  काम वा पेशा","the occupation of catching fish for a living"
"2324",1,"हकी | हाकी","field hockey | hockey","एघार-एघार जनाको दलमा खलिने खेल जसलाई हकी नामक उपस्करको सहायताले बललाई हानिन्छ","a game resembling ice hockey that is played on an open field; two opposing teams use curved sticks try to drive a ball into the opponents' net"
"2348",1,"क्रिकेट","cricket","एघार-एघारजनाका दुईटा दलका बीचमा हुने बल-बेटको एउटा खेल","a game played with a ball and bat by two teams of 11 players; teams take turns trying to score runs"
"2357",1,"फुटबल | भकुण्डो","association football | soccer","दुइ दल बीचमा हुने एउटा खेल जसमा एघार- एघार जना खेलाडी हुन्छन्","a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal"
"2364",1,"स्क्वाश","squash | squash rackets | squash racquets","भित्तोमा रेकेटले बल हानेर खेलिने एक खेल","a game played in an enclosed court by two or four players who strike the ball with long-handled rackets"
"2374",1,"टेनिस | लन टेनिस","lawn tennis | tennis","दुइ वा चार जनाले सानो गोलालाई उपास्करको सहायताले नेटमाथि उफारेर खेलिने एउटा खेल","a game played with rackets by two or four players who hit a ball back and forth over a net that divides the court"
"2388",1,"कुक्कु | लुकामारी | लुकालुक","hide-and-seek | hide and go seek","नानीहरूको एउटा खेल जसको थालनीमा एउटा केटाको आँखा बन्द रहन्छ र त्यसपछि उसले आँखा खोलेर अरू लुकेका साथीहरूलाई खोज्ने गर्छ:नानीहरू आँगनमा लुकामारी खेल्दैछन्","a game in which a child covers his eyes while the other players hide then tries to find them"
"2406",1,"कार्ड | ताश | तास","card game | cards","NO_GLOSS","a game played with playing cards"
"2434",1,"रमी","rum | rummy","तासको एउटा खेल जसमा सबै खेलाडीहरूले अङ्क पाउँछन्","a card game based on collecting sets and sequences; the winner is the first to meld all their cards"
"2458",1,"टेबल-टेनिस | टेबल टेनिस","ping-pong | table tennis","विशेष प्रकारको दुइ टेबलको बीच जाली लगाएर, उस जालीको माथिबाट बल दोस्रो तर्फबाट हान्दै खेलिने एक खेल","a game (trademark Ping-Pong) resembling tennis but played on a table with paddles and a light hollow ball"
"2476",1,"चेस | बुद्धिचाल","chess | chess game","एकखाले खेला जसमा चौसट्ठीवटा कोठा बनाएर खेलिन्छ:बुद्धिचालको खेला बत्तीसवटा गुटीले खेलिन्छ","a board game for two players who move their 16 pieces according to specific rules; the object is to checkmate the opponent's king"
"2514",1,"खल्बली | हल्लाखल्ला | होहल्ला","revel | revelry","उपद्रोले भरिएको उफ्र्‍याइँ","unrestrained merrymaking"
"2527",1,"मोज","coquetry | dalliance | flirt | flirtation | flirting | toying","काम भावना जगाउनका लागि गरिने क्रिया","playful behavior intended to arouse sexual interest"
"2538",1,"अप्रेलफूल","april fool","अप्रेल मासको पहिलो तारीक हाँसोले मूर्ख बनाउने क्रिया","a practical joke or trick played on the first day of April"
"2573",1,"सरकस | सरकसको खेल | सर्कस","circus","पशु र कलाबाज आदिद्वारा देखाइने कौशल या खेल","performance given by a traveling company of acrobats clowns and trained animals"
