source,target,language,relation,weight,score_components,method
phoneme:np:/ʌi/,phoneme:np:/dʱʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/nʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/pʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/bʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/bʱʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/mʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/jʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/rʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/lʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/sʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/hʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/ksʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/trʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/srʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/djʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/dwʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌi/,phoneme:np:/ttʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/ʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/u/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/ʌi/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/ʌhʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/kʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/kʰʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/ɡʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/ɡʱʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/ŋʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/tsʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/dzʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/ʈʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/ʈʰʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/ɖʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/ɖʱʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/tʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/tʰʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/dʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/dʱʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/nʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/pʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/bʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/bʱʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/mʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/jʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/rʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/lʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/sʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/hʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/ksʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/trʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/srʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/djʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/dwʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌu/,phoneme:np:/ttʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ri/,phoneme:np:/i/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ri/,phoneme:np:/ʌi/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ri/,phoneme:np:/rʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/ri/,phoneme:np:/trʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ri/,phoneme:np:/srʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌm/ or /ʌ̃/,phoneme:np:/pʰʌ/ or /fʌ/,np,confusable_with,0.572,"{""ipa_sim"": 0.778, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌm/ or /ʌ̃/,phoneme:np:/wʌ/ or /bʌ/,np,confusable_with,0.6,"{""ipa_sim"": 0.75, ""len_diff"": 0}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/ʌ/,np,confusable_with,0.433,"{""ipa_sim"": 0.667, ""len_diff"": 2}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/ʌi/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/ʌu/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/kʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/ɡʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/ŋʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/tsʰʌ/,np,confusable_with,0.35,"{""ipa_sim"": 0.5, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/dzʱʌ/,np,confusable_with,0.35,"{""ipa_sim"": 0.5, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/ʈʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/ɖʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/tʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/dʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/nʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/pʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/bʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/mʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/jʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/rʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/lʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/sʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/hʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/ʌhʌ/,phoneme:np:/ɡjʌ̃/,np,confusable_with,0.35,"{""ipa_sim"": 0.5, ""len_diff"": 1}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/ʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/ʌi/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/ʌu/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/ʌhʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/kʰʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/ɡʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/ɡʱʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/ŋʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/tsʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/dzʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/ʈʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/ʈʰʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/ɖʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/ɖʱʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/tʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/tʰʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/dʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/dʱʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/nʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/pʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/bʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/bʱʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/mʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/jʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/rʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/lʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/sʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/hʌ/,np,confusable_with,0.4,"{""ipa_sim"": 0.5, ""len_diff"": 0}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/ksʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/trʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/srʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/djʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/dwʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʌ/,phoneme:np:/ttʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʰʌ/,phoneme:np:/ʌ/,np,confusable_with,0.433,"{""ipa_sim"": 0.667, ""len_diff"": 2}",automatic_only
phoneme:np:/kʰʌ/,phoneme:np:/ʌi/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʰʌ/,phoneme:np:/ʌu/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʰʌ/,phoneme:np:/kʌ/,np,confusable_with,0.75,"{""ipa_sim"": 1.0, ""len_diff"": 1}",automatic_only
phoneme:np:/kʰʌ/,phoneme:np:/ɡʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʰʌ/,phoneme:np:/ŋʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʰʌ/,phoneme:np:/tsʰʌ/,np,confusable_with,0.55,"{""ipa_sim"": 0.75, ""len_diff"": 1}",automatic_only
phoneme:np:/kʰʌ/,phoneme:np:/dzʱʌ/,np,confusable_with,0.35,"{""ipa_sim"": 0.5, ""len_diff"": 1}",automatic_only
phoneme:np:/kʰʌ/,phoneme:np:/ʈʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʰʌ/,phoneme:np:/ʈʰʌ/,np,confusable_with,0.533,"{""ipa_sim"": 0.667, ""len_diff"": 0}",automatic_only
phoneme:np:/kʰʌ/,phoneme:np:/ɖʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʰʌ/,phoneme:np:/tʌ/,np,confusable_with,0.483,"{""ipa_sim"": 0.667, ""len_diff"": 1}",automatic_only
phoneme:np:/kʰʌ/,phoneme:np:/tʰʌ/,np,confusable_with,0.533,"{""ipa_sim"": 0.667, ""len_diff"": 0}",automatic_only
