Language,Pronoun Pair A (I/You),Pronoun Pair B (I/You),What causes confusion?,Penalty Score,Severity Level,Context A,Context B
Mandarin,我 (wǒ) / 姐姐 (jiějie),我 (wǒ) / 叔叔 (shūshu),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Older (same gen) - Female - Neutral - Male spk,Older - Parents' gen - Male - Neutral - Male spk
Mandarin,我 (wǒ) / 姐姐 (jiějie),我 (wǒ) / 爷爷 (yéye),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Older (same gen) - Female - Neutral - Male spk,Older - Grandparents' gen - Male - Neutral - Male spk
Mandarin,我 (wǒ) / 叔叔 (shūshu),我 (wǒ) / 奶奶 (nǎinai),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Parents' gen - Male - Neutral - Male spk,Older - Grandparents' gen - Female - Neutral - Male spk
Mandarin,我 (wǒ) / 阿姨 (āyí),我 (wǒ) / 爷爷 (yéye),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Parents' gen - Female - Neutral - Male spk,Older - Grandparents' gen - Male - Neutral - Male spk
Nepali,म (ma) / तँ (ta) / तिमी (timi),म (ma) / तपाईं (tapai) and हजुर (Hajur),Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Male - Neutral - Male spk,Older - Older (same gen) - Male - Neutral - Male spk
Nepali,म (ma) / तँ (ta) / तिमी (timi),म (ma) / तपाईं (tapai) and हजुर (Hajur),Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Male - Neutral - Male spk,Older - Parents' gen - Male - Neutral - Male spk
Nepali,म (ma) / तँ (ta) / तिमी (timi),म (ma) / तपाईं (tapai) and हजुर (Hajur),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Male - Neutral - Male spk,Older - Older (same gen) - Male - Neutral - Male spk
Nepali,म (ma) / तँ (ta) / तिमी (timi),म (ma) / तपाईं (tapai) and हजुर (Hajur),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Male - Neutral - Male spk,Older - Parents' gen - Male - Neutral - Male spk
Teochew,我 (guá) / 你 (lí),我 (guá) / 细弟 (sè-tī),Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Male - Neutral - Male spk,Younger - Younger (same gen) - Male - Neutral - Male spk
Teochew,我 (guá) / 你 (lí),我 (guá) / 细妹 (sè-muē),Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Female - Neutral - Male spk,Younger - Younger (same gen) - Female - Neutral - Male spk
Teochew,我 (guá) / 你 (lí),我 (guá) / 阿兄 (a-hiang),Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Male - Neutral - Male spk,Older - Older (same gen) - Male - Neutral - Male spk
Teochew,我 (guá) / 你 (lí),我 (guá) / 阿姐 (a-jié),Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Female - Neutral - Male spk,Older - Older (same gen) - Female - Neutral - Male spk
Teochew,我 (guá) / 你 (lí),我 (guá) / 阿叔 (a-zik),Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Male - Neutral - Male spk,Older - Parents' gen - Male - Neutral - Male spk
Teochew,我 (guá) / 你 (lí),我 (guá) / 阿姨 (a-î),Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Female - Neutral - Male spk,Older - Parents' gen - Female - Neutral - Male spk
Teochew,我 (guá) / 你 (lí),我 (guá) / 阿公 (a-gong),Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Male - Neutral - Male spk,Older - Grandparents' gen - Male - Neutral - Male spk
Teochew,我 (guá) / 你 (lí),我 (guá) / 阿嬷 (a-má),Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Female - Neutral - Male spk,Older - Grandparents' gen - Female - Neutral - Male spk
Teochew,我 (guá) / 细弟 (sè-tī),我 (guá) / 阿兄 (a-hiang),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Male - Neutral - Male spk,Older - Older (same gen) - Male - Neutral - Male spk
Teochew,我 (guá) / 细弟 (sè-tī),我 (guá) / 阿叔 (a-zik),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Male - Neutral - Male spk,Older - Parents' gen - Male - Neutral - Male spk
Teochew,我 (guá) / 细弟 (sè-tī),我 (guá) / 阿公 (a-gong),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Male - Neutral - Male spk,Older - Grandparents' gen - Male - Neutral - Male spk
Teochew,我 (guá) / 细妹 (sè-muē),我 (guá) / 阿姐 (a-jié),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Female - Neutral - Male spk,Older - Older (same gen) - Female - Neutral - Male spk
Teochew,我 (guá) / 细妹 (sè-muē),我 (guá) / 阿姨 (a-î),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Female - Neutral - Male spk,Older - Parents' gen - Female - Neutral - Male spk
Teochew,我 (guá) / 细妹 (sè-muē),我 (guá) / 阿嬷 (a-má),Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Female - Neutral - Male spk,Older - Grandparents' gen - Female - Neutral - Male spk
Teochew,我 (guá) / 阿兄 (a-hiang),我 (guá) / 阿姨 (a-î),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Older (same gen) - Male - Neutral - Male spk,Older - Parents' gen - Female - Neutral - Male spk
Teochew,我 (guá) / 阿兄 (a-hiang),我 (guá) / 阿嬷 (a-má),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Older (same gen) - Male - Neutral - Male spk,Older - Grandparents' gen - Female - Neutral - Male spk
Teochew,我 (guá) / 阿姐 (a-jié),我 (guá) / 阿叔 (a-zik),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Older (same gen) - Female - Neutral - Male spk,Older - Parents' gen - Male - Neutral - Male spk
Teochew,我 (guá) / 阿姐 (a-jié),我 (guá) / 阿公 (a-gong),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Older (same gen) - Female - Neutral - Male spk,Older - Grandparents' gen - Male - Neutral - Male spk
Teochew,我 (guá) / 阿叔 (a-zik),我 (guá) / 阿嬷 (a-má),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Parents' gen - Male - Neutral - Male spk,Older - Grandparents' gen - Female - Neutral - Male spk
Teochew,我 (guá) / 阿姨 (a-î),我 (guá) / 阿公 (a-gong),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Parents' gen - Female - Neutral - Male spk,Older - Grandparents' gen - Male - Neutral - Male spk
Urdu,میں / تم (tum),میں / تم (tum) or تو (tu),Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Male - Informal - Male spk,Younger - Younger (same gen) - Male - Informal - Male spk
Urdu,میں / بھائی (bhai / bhaiya),میں / Aunty /خالہ (khala),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Older (same gen) - Male - Neutral - Male spk,Older - Parents' gen - Female - Neutral - Male spk
Urdu,میں / باجی (baji / apa),میں / Uncle / چچا (chacha),Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Older (same gen) - Female - Neutral - Male spk,Older - Parents' gen - Male - Neutral - Male spk
Vietnamese,tui / bạn,anh / em,Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Male - Neutral - Male spk,Younger - Younger (same gen) - Male - Neutral - Male spk
Vietnamese,tui / bạn,chị / em,Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Female - Neutral - Female spk,Younger - Younger (same gen) - Female - Neutral - Female spk
Vietnamese,tui / bạn,em / anh,Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Male - Neutral - Male spk,Older - Older (same gen) - Male - Neutral - Male spk
Vietnamese,tui / bạn,em / chị,Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Female - Neutral - Male spk,Older - Older (same gen) - Female - Neutral - Male spk
Vietnamese,tui / bạn,con/cháu / chú/cậu,Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Male - Neutral - Male spk,Older - Parents' gen - Male - Neutral - Male spk
Vietnamese,tui / bạn,con/cháu / cô/dì,Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Female - Neutral - Male spk,Older - Parents' gen - Female - Neutral - Male spk
Vietnamese,tui / bạn,con/cháu / bác,Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Male - Neutral - Male spk,Older - Parents' gen - Male - Neutral - Male spk
Vietnamese,tui / bạn,con/cháu / ông,Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Male - Neutral - Male spk,Older - Grandparents' gen - Male - Neutral - Male spk
Vietnamese,tui / bạn,con/cháu / bà,Changes Age Group ONLY,5,Critical Error 🚨,Same Age - Exactly same age - Female - Neutral - Male spk,Older - Grandparents' gen - Female - Neutral - Male spk
Vietnamese,anh / em,em / anh,Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Male - Neutral - Male spk,Older - Older (same gen) - Male - Neutral - Male spk
Vietnamese,anh / em,con/cháu / chú/cậu,Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Male - Neutral - Male spk,Older - Parents' gen - Male - Neutral - Male spk
Vietnamese,anh / em,con/cháu / bác,Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Male - Neutral - Male spk,Older - Parents' gen - Male - Neutral - Male spk
Vietnamese,anh / em,con/cháu / ông,Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Male - Neutral - Male spk,Older - Grandparents' gen - Male - Neutral - Male spk
Vietnamese,chị / em,em / chị,Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Female - Neutral - Female spk,Older - Older (same gen) - Female - Neutral - Female spk
Vietnamese,chị / em,con/cháu / cô/dì,Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Female - Neutral - Female spk,Older - Parents' gen - Female - Neutral - Female spk
Vietnamese,chị / em,con/cháu / bác,Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Female - Neutral - Female spk,Older - Parents' gen - Female - Neutral - Female spk
Vietnamese,chị / em,con/cháu / bà,Changes Age Group ONLY,5,Critical Error 🚨,Younger - Younger (same gen) - Female - Neutral - Female spk,Older - Grandparents' gen - Female - Neutral - Female spk
Vietnamese,em / anh,con/cháu / cô/dì,Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Older (same gen) - Male - Neutral - Male spk,Older - Parents' gen - Female - Neutral - Male spk
Vietnamese,em / anh,con/cháu / bà,Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Older (same gen) - Male - Neutral - Male spk,Older - Grandparents' gen - Female - Neutral - Male spk
Vietnamese,em / chị,con/cháu / chú/cậu,Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Older (same gen) - Female - Neutral - Male spk,Older - Parents' gen - Male - Neutral - Male spk
Vietnamese,em / chị,con/cháu / ông,Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Older (same gen) - Female - Neutral - Male spk,Older - Grandparents' gen - Male - Neutral - Male spk
Vietnamese,con/cháu / chú/cậu,con/cháu / bà,Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Parents' gen - Male - Neutral - Male spk,Older - Grandparents' gen - Female - Neutral - Male spk
Vietnamese,con/cháu / cô/dì,con/cháu / ông,Changes Addressee Gender ONLY,3,Major Error 🔴,Older - Parents' gen - Female - Neutral - Male spk,Older - Grandparents' gen - Male - Neutral - Male spk
Vietnamese,anh / em,chị / em,Changes Social Context ONLY,2,Moderate Error 🟠,Younger - Younger (same gen) - Male - Neutral - Male spk,Younger - Younger (same gen) - Female - Neutral - Female spk
